NameMM,NameEN,Filename,FontSupportType,CreatedBy
မြန်မာ 3,Myanmar 3,Myanmar3.zip,unicode,Myanmar Natural Language Processing (NLP) Research Center
ဇော်ဂျီဝမ်း,Zaw-gyi ONE,Zaw-One.zip,zaygyi,Zaw Win Myat
ပိတောက်,Padauk,Padauk.zip,unicode,
ပြည်ထောင်စု,Pyidaungsu ,Pyidaungsu font.zip,unicode,
ဝင်းယူနီအင်းဝ,Win Uni Innwa,WinUniInna.zip,unicode,
ယူနီဘားမား,Uni Burma,UniBurma.zip,unicode,
အမ်မြန်မာဝမ်း,M-Myanmar1,M-Myanmar1.zip,unicode,
အမ်မြန်မာတူး,M-Myanmar2,M-Myanmar2.zip,zaygyi,
ကနက,Kanaka,Kanaka.zip,zaygyi,
မြစေတီ,Myazedi,-,,
ပုရာပိုက်,Parabaik,-,,
ဝင်းရီဆက်ချာ,Win Researcher,WinResearcher.zip,win,
ဝင်းတောင်ကြီး,Win Taungyi,WinTaungyi.zip,win,
ဝင်းစစ်တွေ,Win Sittway,WinSittway.zip,win,
ဝင်းရန်ကုန်,Win Yangon,WnYangon.zip,win,
ဝင်းကလော,Win Kalaw,WinKalaw.zip,win,
ဝင်းအင်းဝ,Win Innwa,WinInnwa.zip,win,
အောင်ဆန်း,Aung San,AungSan.zip,zaygyi,
စီအီးကော်လက်ရှင်,CE Collection,CeCollection.zip,zaygyi,
ဝင်းဗားမိ,Win Burmese,WinBurmese.zip,win,
ဝင်းပြင်ဦးလွင်,Win Pyin Oo Lwin,WinPyinOoLwin.zip,win,
ဝင်းမန္တလေး,Win Mandalay,WinMandalay.zip,win,
ဝင်းရတနာပုံ,Win Yadanapon,WinYadanapon.zip,win,
မြနန္ဒာ,Myananda,Myananda.zip,zaygyi,
ကေအန်ယူ,KNU,KNU.zip,zaygyi,
ကရင်ဖလားဝါး,karen-flower,karen-flower.zip,zaygyi,
